name,label,type,fieldType,groupName
hs_analytics_average_page_views,Average Pageviews,number,number,analyticsinformation
hs_analytics_first_referrer,First Referring Site,string,text,analyticsinformation
hs_analytics_first_timestamp,Time First Seen,datetime,date,analyticsinformation
hs_analytics_first_touch_converting_campaign,First Touch Converting Campaign,string,text,analyticsinformation
hs_analytics_first_url,First Page Seen,string,text,analyticsinformation
hs_analytics_first_visit_timestamp,Time of First Session,datetime,date,analyticsinformation
hs_analytics_last_referrer,Last Referring Site,string,text,analyticsinformation
hs_analytics_last_timestamp,Time Last Seen,datetime,date,analyticsinformation
hs_analytics_last_touch_converting_campaign,Last Touch Converting Campaign,string,text,analyticsinformation
hs_analytics_last_url,Last Page Seen,string,text,analyticsinformation
hs_analytics_last_visit_timestamp,Time of Last Session,datetime,date,analyticsinformation
hs_analytics_num_event_completions,Number of event completions,number,number,analyticsinformation
hs_analytics_num_page_views,Number of Pageviews,number,number,analyticsinformation
hs_analytics_num_visits,Number of Sessions,number,number,analyticsinformation
hs_analytics_revenue,Event Revenue,number,number,analyticsinformation
hs_analytics_source,Original Traffic Source,enumeration,select,analyticsinformation
hs_analytics_source_data_1,Original Traffic Source Drill-Down 1,string,text,analyticsinformation
hs_analytics_source_data_2,Original Traffic Source Drill-Down 2,string,text,analyticsinformation
hs_latest_source,Latest Traffic Source,enumeration,select,analyticsinformation
hs_latest_source_data_1,Latest Traffic Source Drill-Down 1,string,text,analyticsinformation
hs_latest_source_data_2,Latest Traffic Source Drill-Down 2,string,text,analyticsinformation
hs_latest_source_timestamp,Latest Traffic Source Date,datetime,date,analyticsinformation
currentlyinworkflow,Currently in workflow (discontinued),enumeration,booleancheckbox,contact_activity
engagements_last_meeting_booked,Date of last meeting booked in meetings tool,datetime,date,contact_activity
engagements_last_meeting_booked_campaign,Campaign of last booking in meetings tool,string,text,contact_activity
engagements_last_meeting_booked_medium,Medium of last booking in meetings tool,string,text,contact_activity
engagements_last_meeting_booked_source,Source of last booking in meetings tool,string,text,contact_activity
