
cat hubspot_deals_properties.csv
name,label,type,fieldType,groupName
address_line_1,Address Line 1,string,textarea,dealinformation
address_line_2,Address Line 2,string,textarea,dealinformation
alternative_email_address,Alternative Email Address,string,text,dealinformation
amount,Amount,number,number,dealinformation
amount_in_home_currency,Amount in company currency,number,calculation_equation,dealinformation
became_a_customer_date,Became a customer date,date,date,deal_activity
billing_type,Billing type,enumeration,select,dealinformation
budget_confirmed__c,Budget Confirmed,enumeration,booleancheckbox,salesforceinformation
closed_lost_reason,Closed Lost Reason,string,textarea,dealinformation
closed_won_reason,Closed Won Reason,string,textarea,dealinformation
closedate,Close Date,datetime,date,dealinformation
created_by_reseller__,Created by reseller ?,enumeration,select,dealinformation
createdate,Create Date,datetime,date,dealinformation
customer_active_device_count,customer active device count,string,text,dealinformation
customer_ad_check,Customer ad check,string,text,dealinformation
customer_android_device_count,Customer android device count,string,text,dealinformation
customer_apns_expiry,Customer apns expiry,string,text,dealinformation
customer_azure_ad_enabled,customer azure ad enabled,string,text,dealinformation
customer_branch,Customer branch,string,text,dealinformation
customer_dep_device_count,Customer dep device count,string,text,dealinformation
customer_device_limit,Customer device limit,string,text,dealinformation
customer_disk_status,Customer disk status,string,text,dealinformation
customer_enrolleddevice_count,Customer enrolleddevice count,string,text,dealinformation
customer_enterprise_app_count,Customer enterprise app count,string,text,dealinformation
customer_filemanagement_enabled,customer filemanagement enabled,string,text,dealinformation
customer_first_visited_apge,Customer first visited apge,string,text,dealinformation
customer_first_visited_apge__c,Customer First Visited Apge,string,text,salesforceinformation
customer_gsuite_enabled,customer gsuite enabled,string,text,dealinformation
customer_instance_in,customer instance in,string,text,dealinformation
customer_ios_device_count,Customer ios device count,string,text,dealinformation
customer_kiosk_device_count,Customer kiosk device count,string,text,dealinformation
customer_lasrtlogin_time,Customer lasrtlogin time,string,text,dealinformation
customer_last_reported,customer last reported,string,text,dealinformation
customer_license_expiry,Customer license expiry,string,text,dealinformation
customer_mac_device_count,Customer mac device count,string,text,dealinformation
customer_plan_name,Customer plan name,string,text,dealinformation
customer_preenrolled_devices,Customer preenrolled devices,string,text,dealinformation
customer_ram_size,customer ram size,string,text,dealinformation
customer_referral_url,Customer referral url,string,text,dealinformation
customer_referral_url__c,Customer Referral URL,string,text,salesforceinformation
customer_remarks,customer remarks,string,text,dealinformation
customer_revision_no,Customer revision no,string,text,dealinformation
customer_s3_upload_status,Customer s3 upload status,string,text,dealinformation
customer_technician_count,Customer technician count,string,text,dealinformation
customer_tvos_device_count,Customer tvos device count,string,text,dealinformation
customer_type,Customer type,string,text,dealinformation
customer_use_location_api,Customer use location api,string,text,dealinformation
customer_vpn_enabled,customer vpn enabled,string,text,dealinformation
customer_vpp_check,Customer vpp check,string,text,dealinformation
customer_windows_device_count,Customer windows device count,string,text,dealinformation
customer_wizard_completed,Customer wizard completed,string,text,dealinformation
data_upload_execution_set,Data upload execution set,string,text,dealinformation
days_to_close,Days to close,number,calculation_equation,dealinformation
deal_extended_days,deal_extended_days,string,text,dealinformation
deal_extended_days__c,Deal Extended Days,string,text,salesforceinformation
deal_extension_status,deal_extension_status,string,text,dealinformation
deal_extension_status__c,Deal Extension Status,string,text,salesforceinformation
deal_type,Deal type,enumeration,select,dealinformation
dealname,Deal Name,string,text,dealinformation
dealstage,Deal Stage,enumeration,radio,dealinformation
dealtype,Deal Type,enumeration,radio,dealinformation
description,Deal Description,string,textarea,dealinformation
discovery_completed__c,Discovery Completed,enumeration,booleancheckbox,salesforceinformation
engagements_last_meeting_booked,Date of last meeting booked in meetings tool,datetime,date,dealinformation
engagements_last_meeting_booked_campaign,Campaign of last booking in meetings tool,string,text,dealinformation
engagements_last_meeting_booked_medium,Medium of last booking in meetings tool,string,text,dealinformation
engagements_last_meeting_booked_source,Source of last booking in meetings tool,string,text,dealinformation
get_quote_billing,Get Quote Billing,string,text,dealinformation
get_quote_billing__c,Get Quote_Billing,string,text,salesforceinformation
get_quote_pricing_plan,Get Quote Pricing Plan,string,text,dealinformation
get_quote_pricing_plan__c,Get Quote Pricing Plan,string,text,salesforceinformation
gitex_2023_follow_up_and_site_visit,GITEX 2023 Follow up and site visit,enumeration,select,dealinformation
hexcon_attendee_type,hexcon_attendee_type,string,text,dealinformation
hexcon_attendee_type__c,Hexcon Attendee Type,string,text,salesforceinformation
hexcon_contact_rep,HexCon Contact rep,enumeration,checkbox,dealinformation
hexcon_contact_stage,HexCon Contact Stage,enumeration,checkbox,dealinformation
hexcon_contact_status,HexCon Contact Status,enumeration,checkbox,dealinformation
hexcon_referral_url,Hexcon Referral URL,string,textarea,dealinformation
hexcon_referral_url__c,Hexcon Referral URL,string,text,salesforceinformation
hexcon_speaker_about_self,hexcon_speaker_about_self,string,textarea,dealinformation
hexcon_speaker_about_self__c,Hexcon Speaker About Self,string,text,salesforceinformation
hexcon_speaker_article,hexcon_speaker_article,string,textarea,dealinformation
hexcon_speaker_article__c,Hexcon Speaker Article,string,text,salesforceinformation
hexcon_speaker_rank_priority,hexcon_speaker_rank_priority,string,textarea,dealinformation
hexcon_speaker_rank_priority__c,Hexcon Speaker Rank Priority,string,text,salesforceinformation
hexcon_speaking_experience,hexcon_speaking_experience,string,textarea,dealinformation
hexcon_speaking_experience__c,Hexcon Speaking Experience,string,text,salesforceinformation
hexnode_subscription_tier,Hexnode Subscription tier,enumeration,select,dealinformation
hq_address_line_1,hq_address_line_1,string,textarea,dealinformation
hq_address_line_1__c,Hq Address Line 1,string,text,salesforceinformation
hq_city,hq_city,string,text,dealinformation
hq_city__c,Hq City,string,text,salesforceinformation
hq_country,hq_country,string,text,dealinformation
hq_country__c,Hq Country,string,text,salesforceinformation
hq_phonenumber,hq_phonenumber,string,text,dealinformation
hq_phonenumber__c,Hq Phonenumber,string,text,salesforceinformation
hq_state,hq_state,string,text,dealinformation
hq_state__c,Hq State,string,text,salesforceinformation
hq_time_zone,hq_time_zone,string,text,dealinformation
hq_time_zone__c,Hq Time Zone,string,text,salesforceinformation
hq_zipcode,Zip code,string,text,dealinformation
hq_zipcode__c,Hq Zipcode,string,text,salesforceinformation
hs_acv,Annual contract value,number,number,dealinformation
hs_all_accessible_team_ids,All teams,enumeration,select,dealinformation
hs_all_collaborator_owner_ids,Deal Collaborator,enumeration,checkbox,dealinformation
hs_all_deal_split_owner_ids,Deal Split Users,enumeration,checkbox,dealinformation
hs_all_owner_ids,All owner IDs,enumeration,select,dealinformation
hs_all_team_ids,All team IDs,enumeration,select,dealinformation
hs_analytics_latest_source,Latest Traffic Source,enumeration,calculation_equation,analyticsinformation
hs_analytics_latest_source_company,Latest Traffic Source Company,enumeration,select,analyticsinformation
hs_analytics_latest_source_contact,Latest Traffic Source Contact,enumeration,select,analyticsinformation
hs_analytics_latest_source_data_1,Latest Traffic Source Data 1,string,text,analyticsinformation
hs_analytics_latest_source_data_1_company,Latest Traffic Source Data 1 Company,string,text,analyticsinformation
hs_analytics_latest_source_data_1_contact,Latest Traffic Source Data 1 Contact,string,text,analyticsinformation
hs_analytics_latest_source_data_2,Latest Traffic Source Data 2,string,text,analyticsinformation
hs_analytics_latest_source_data_2_company,Latest Traffic Source Data 2 Company,string,text,analyticsinformation
hs_analytics_latest_source_data_2_contact,Latest Traffic Source Data 2 Contact,string,text,analyticsinformation
hs_analytics_latest_source_timestamp,Latest Traffic Source Timestamp,datetime,number,analyticsinformation
hs_analytics_latest_source_timestamp_company,Latest Traffic Source Timestamp Company,datetime,date,analyticsinformation
hs_analytics_latest_source_timestamp_contact,Latest Traffic Source Timestamp Contact,datetime,date,analyticsinformation
hs_analytics_source,Original Traffic Source,enumeration,select,analyticsinformation
hs_analytics_source_data_1,Original Traffic Source Drill-Down 1,string,text,analyticsinformation
hs_analytics_source_data_2,Original Traffic Source Drill-Down 2,string,text,analyticsinformation
hs_arr,Annual recurring revenue,number,number,dealinformation
hs_attributed_team_ids,Attributed reporting team,enumeration,checkbox,dealinformation
hs_average_call_duration,Average call duration,number,calculation_rollup,predictive_deal_score_feature_properties
hs_average_deal_owner_duration_in_current_stage,Average Deal Owner Duration In Current Stage,number,number,dealscripted
hs_campaign,HubSpot Campaign,string,text,dealinformation
hs_closed_amount,Closed Deal Amount,number,calculation_equation,dealinformation
hs_closed_amount_in_home_currency,Closed deal amount in home currency,number,calculation_equation,dealinformation
hs_closed_deal_close_date,Closed Deal Close Date,number,calculation_equation,dealscripted
hs_closed_deal_create_date,Closed Deal Create Date,number,calculation_equation,dealscripted
hs_closed_won_count,Closed won count,number,calculation_equation,dealinformation
hs_closed_won_date,Closed Won Date (Internal),datetime,date,dealinformation
hs_created_by_user_id,Created by user ID,number,number,dealinformation
hs_createdate,HubSpot Create Date,datetime,date,dealinformation
hs_date_entered_10066294,Date entered 'Trial created for testing Higher license Edition (Inbound Sales Pipeline)',datetime,calculation_read_time,deal_activity
hs_date_entered_1014135901,Date entered 'Moved to outbound team (Inbound Sales Pipeline)',datetime,calculation_read_time,deal_activity
hs_date_entered_10893988,Date entered 'DND-Prospecting / Not Now (Inbound Sales Pipeline)',datetime,calculation_read_time,deal_activity
hs_date_entered_10893989,Date entered 'DND-No emails/calls (Inbound Sales Pipeline)',datetime,calculation_read_time,deal_activity
hs_date_entered_11318325,Date entered 'Lost-Missing Feature (Inbound Sales Pipeline)',datetime,calculation_read_time,deal_activity
hs_date_entered_11616391,Date entered 'All existing partners and partner leads (Hexnode Partner Summit 21)',datetime,calculation_read_time,deal_activity
hs_date_entered_11616392,Date entered 'Tried contacting- No response (Hexnode Partner Summit 21)',datetime,calculation_read_time,deal_activity
hs_date_entered_11616393,Date entered 'Got response- Not confirmed (Hexnode Partner Summit 21)',datetime,calculation_read_time,deal_activity
hs_date_entered_11616394,Date entered 'Interested but not registered yet (Hexnode Partner Summit 21)',datetime,calculation_read_time,deal_activity
hs_date_entered_11616395,Date entered 'No response after initial contact (Hexnode Partner Summit 21)',datetime,calculation_read_time,deal_activity
hs_date_entered_11616396,Date entered 'Registered for event (Hexnode Partner Summit 21)',datetime,calculation_read_time,deal_activity
